Name,Postal District,"25th
Percentile",Median,"75th
Percentile",
THE SKYWOODS,23,31.31,34.36,36.73,
THE SPRINGBLOOM,19,28.19,30.10,32.72,
THE STERLING,21,31.25,32.10,33.57,
THE SUITES AT CENTRAL,9,48.85,50.96,55.56,
THE SUNNY SPRING,14,26.62,28.05,29.41,
THE TEMBUSU,19,31.96,35.21,44.32,
THE TENNERY,23,29.75,32.46,34.48,
THE TESSARINA,10,32.48,33.76,35.62,
THE TRILINQ,5,37.93,41.43,46.00,
THE TRILLIUM,9,39.23,42.31,45.38,
THE TRIZON,10,34.21,36.04,38.09,
THE TRUMPS,14,29.76,33.66,37.10,
THE VERMONT ON CAIRNHILL,9,45.78,49.34,52.63,
THE VERVE,12,32.43,33.93,35.71,
THE VIRIDIAN,12,38.55,44.68,44.90,
THE VISION,5,32.79,36.84,38.10,
THE WARREN,23,25.00,25.47,26.89,
THE WATERINA,14,29.90,31.20,32.20,
THE WATERSIDE,15,26.79,28.63,30.04,
THE WHARF RESIDENCE,9,46.77,50.75,54.17,
THE WISTERIA,27,27.71,30.00,35.59,
THOMSON 800,11,25.76,26.69,27.81,
THOMSON GRAND,20,24.60,27.14,28.13,
THOMSON IMPRESSIONS,20,34.69,39.23,45.35,
THOMSON THREE,20,32.35,33.82,35.45,
TIARA,9,32.86,33.60,36.00,
TIONG BAHRU ESTATE,3,29.65,35.38,43.38,
TRE RESIDENCES,14,41.25,43.66,46.48,
TREE HOUSE,23,26.25,27.50,29.17,
TRELLIS TOWERS,12,31.60,34.09,38.06,
TRESALVEO,20,29.17,32.42,40.91,
TREVISTA,12,35.58,36.25,41.86,
TRIBECA,9,38.41,41.71,56.25,
TRILIGHT,11,44.21,45.78,48.07,
TRILIVE,19,33.33,36.64,40.20,
TROPICAL SPRING,18,26.50,28.21,29.23,
TWIN REGENCY,3,46.09,48.70,50.60,
UE SQUARE,9,34.62,37.04,39.25,
URBAN SUITES,9,49.73,53.73,54.91,
URBAN VISTA,16,35.09,37.93,42.68,
V ON SHENTON,1,47.89,59.52,64.44,
VACANZA @ EAST,14,28.00,30.23,32.20,
VALLEY PARK,10,31.75,33.33,36.28,
VIBES @ EAST COAST,15,39.47,42.11,47.22,
VIDA,9,43.39,50.03,57.45,
VILLA DELLE ROSE,10,29.12,31.32,33.38,
VILLA MARINA,15,27.27,29.41,32.61,
VISIONCREST,9,49.49,54.43,62.50,
VISTA RESIDENCES,12,35.11,36.34,40.00,
VIVA,11,47.57,52.60,57.30,
VIVA VISTA,5,51.43,54.29,58.33,
VIZ AT HOLLAND,10,34.95,38.16,45.65,
VUE 8 RESIDENCE,18,27.20,28.38,32.31,
WATER PLACE,15,30.08,31.25,33.33,
WATERBANK AT DAKOTA,14,40.57,44.44,48.89,
WATERFORD RESIDENCE,9,36.42,40.85,46.39,
WATERFRONT GOLD,16,28.47,30.64,34.47,
WATERFRONT ISLE,16,30.05,31.79,36.36,
WATERFRONT KEY,16,27.65,29.51,32.47,
WATERFRONT WAVES,16,26.23,27.59,28.57,
WATERMARK ROBERTSON QUAY,9,43.80,45.02,47.47,
WATERSCAPE AT CAVENAGH,9,35.11,37.93,42.98,
WATERTOWN,19,34.67,37.50,39.29,
WATERVIEW,18,26.67,27.65,28.92,
WEST BAY CONDO,5,25.86,28.79,31.55,
WESTCOVE CONDO,5,25.48,26.79,27.88,
WING FONG MANSIONS,14,22.13,23.48,25.00,
WOODHAVEN,25,29.11,30.28,31.65,
YONG AN PARK,9,32.49,36.43,37.94,
ZEDGE,11,32.86,36.42,40.22,
"*The above figures are for non-landed residential buil contracts signed in the quarter
** To convert from $ psm to $ psf, divide by a factor 1",,,,,
dings with at least 10 rental,,,,,
0.764,,,,,
