S.N,Building.Project.Name,StreetName,Postal.District,Type,No..of.Bedroom,Monthly.Gross.Rent...,Floor.Area..sq.ft.,Mean.Floor.Area..sq.ft.,Category,Date,lon,lat,address
89,THE FLORAVALE,WESTWOOD RESIDENCES AVENUE,22,Executive Condominium,3,2900,1200 to 1300,1250,NA,19-Aug,103.69653,1.3521112,"westwood ave, singapore 648146"
90,SUMMERDALE,BOON LAY DRIVE,22,Executive Condominium,3,2400,1100 to 1200,1150,NA,19-Aug,103.7127992,1.3437874,"boon lay dr, singapore"
91,THE FLORAVALE,WESTWOOD RESIDENCES AVENUE,22,Executive Condominium,3,2800,1200 to 1300,1250,NA,19-Aug,103.69653,1.3521112,"westwood ave, singapore 648146"
92,SUMMERDALE,BOON LAY DRIVE,22,Executive Condominium,3,2500,1100 to 1200,1150,NA,19-Aug,103.7127992,1.3437874,"boon lay dr, singapore"
93,THE FLORAVALE,WESTWOOD RESIDENCES AVENUE,22,Executive Condominium,3,2600,1300 to 1400,1350,NA,19-Aug,103.69653,1.3521112,"westwood ave, singapore 648146"
94,SUMMERDALE,BOON LAY DRIVE,22,Executive Condominium,3,2400,1100 to 1200,1150,NA,19-Aug,103.7127992,1.3437874,"boon lay dr, singapore"
95,SUMMERDALE,BOON LAY DRIVE,22,Executive Condominium,3,2300,1100 to 1200,1150,NA,19-Aug,103.7127992,1.3437874,"boon lay dr, singapore"
96,SUMMERDALE,BOON LAY DRIVE,22,Executive Condominium,3,2500,1100 to 1200,1150,NA,19-Aug,103.7127992,1.3437874,"boon lay dr, singapore"
97,THE FLORAVALE,WESTWOOD RESIDENCES AVENUE,22,Executive Condominium,3,2700,1200 to 1300,1250,NA,19-Aug,103.69653,1.3521112,"westwood ave, singapore 648146"
98,WESTMERE,JURONG EAST STREET 13,22,Executive Condominium,3,2800,1200 to 1300,1250,NA,19-Aug,103.7372944,1.3370334,"jurong east street 13, singapore"
99,THE FLORAVALE,WESTWOOD RESIDENCES AVENUE,22,Executive Condominium,3,2500,1300 to 1400,1350,NA,19-Aug,103.69653,1.3521112,"westwood ave, singapore 648146"
100,THE FLORAVALE,WESTWOOD RESIDENCES AVENUE,22,Executive Condominium,3,2600,1200 to 1300,1250,NA,19-Aug,103.69653,1.3521112,"westwood ave, singapore 648146"
101,WESTMERE,JURONG EAST STREET 13,22,Executive Condominium,3,2800,1200 to 1300,1250,NA,19-Aug,103.7372944,1.3370334,"jurong east street 13, singapore"
102,THE FLORAVALE,WESTWOOD RESIDENCES AVENUE,22,Executive Condominium,3,2750,1300 to 1400,1350,NA,19-Aug,103.69653,1.3521112,"westwood ave, singapore 648146"
103,WESTMERE,JURONG EAST STREET 13,22,Executive Condominium,3,2700,1200 to 1300,1250,NA,19-Aug,103.7372944,1.3370334,"jurong east street 13, singapore"
104,SUMMERDALE,BOON LAY DRIVE,22,Executive Condominium,3,2300,1100 to 1200,1150,NA,19-Aug,103.7127992,1.3437874,"boon lay dr, singapore"
105,WESTMERE,JURONG EAST STREET 13,22,Executive Condominium,3,2600,1000 to 1100,1050,NA,19-Aug,103.7372944,1.3370334,"jurong east street 13, singapore"
106,SUMMERDALE,BOON LAY DRIVE,22,Executive Condominium,3,2750,2000 to 2100,2050,NA,19-Aug,103.7127992,1.3437874,"boon lay dr, singapore"
107,SUMMERDALE,BOON LAY DRIVE,22,Executive Condominium,3,2500,1200 to 1300,1250,NA,19-Aug,103.7127992,1.3437874,"boon lay dr, singapore"
108,WESTMERE,JURONG EAST STREET 13,22,Executive Condominium,3,3200,1200 to 1300,1250,NA,19-Aug,103.7372944,1.3370334,"jurong east street 13, singapore"
109,WESTWOOD RESIDENCES RESIDENCES,WESTWOOD RESIDENCES AVENUE,22,Executive Condominium,3,2700,1000 to 1100,1050,NA,19-Aug,103.69653,1.3521112,"westwood ave, singapore 648146"
110,WESTMERE,JURONG EAST STREET 13,22,Executive Condominium,3,3200,1300 to 1400,1350,NA,19-Aug,103.7372944,1.3370334,"jurong east street 13, singapore"
111,THE FLORAVALE,WESTWOOD RESIDENCES AVENUE,22,Executive Condominium,3,2550,1300 to 1400,1350,NA,19-Aug,103.69653,1.3521112,"westwood ave, singapore 648146"
112,THE FLORAVALE,WESTWOOD RESIDENCES AVENUE,22,Executive Condominium,3,2900,1200 to 1300,1250,NA,19-Aug,103.69653,1.3521112,"westwood ave, singapore 648146"
113,SUMMERDALE,BOON LAY DRIVE,22,Executive Condominium,3,2400,1100 to 1200,1150,NA,19-Aug,103.7127992,1.3437874,"boon lay dr, singapore"
114,THE FLORAVALE,WESTWOOD RESIDENCES AVENUE,22,Executive Condominium,3,2800,1200 to 1300,1250,NA,19-Aug,103.69653,1.3521112,"westwood ave, singapore 648146"
115,SUMMERDALE,BOON LAY DRIVE,22,Executive Condominium,3,2500,1100 to 1200,1150,NA,19-Aug,103.7127992,1.3437874,"boon lay dr, singapore"
116,THE FLORAVALE,WESTWOOD RESIDENCES AVENUE,22,Executive Condominium,3,2600,1300 to 1400,1350,NA,19-Aug,103.69653,1.3521112,"westwood ave, singapore 648146"
117,SUMMERDALE,BOON LAY DRIVE,22,Executive Condominium,3,2400,1100 to 1200,1150,NA,19-Aug,103.7127992,1.3437874,"boon lay dr, singapore"
118,SUMMERDALE,BOON LAY DRIVE,22,Executive Condominium,3,2300,1100 to 1200,1150,NA,19-Aug,103.7127992,1.3437874,"boon lay dr, singapore"
119,SUMMERDALE,BOON LAY DRIVE,22,Executive Condominium,3,2500,1100 to 1200,1150,NA,19-Aug,103.7127992,1.3437874,"boon lay dr, singapore"
120,THE FLORAVALE,WESTWOOD RESIDENCES AVENUE,22,Executive Condominium,3,2700,1200 to 1300,1250,NA,19-Aug,103.69653,1.3521112,"westwood ave, singapore 648146"
121,WESTMERE,JURONG EAST STREET 13,22,Executive Condominium,3,2800,1200 to 1300,1250,NA,19-Aug,103.7372944,1.3370334,"jurong east street 13, singapore"
122,THE FLORAVALE,WESTWOOD RESIDENCES AVENUE,22,Executive Condominium,3,2500,1300 to 1400,1350,NA,19-Aug,103.69653,1.3521112,"westwood ave, singapore 648146"
123,THE FLORAVALE,WESTWOOD RESIDENCES AVENUE,22,Executive Condominium,3,2600,1200 to 1300,1250,NA,19-Aug,103.69653,1.3521112,"westwood ave, singapore 648146"
124,WESTMERE,JURONG EAST STREET 13,22,Executive Condominium,3,2800,1200 to 1300,1250,NA,19-Aug,103.7372944,1.3370334,"jurong east street 13, singapore"
125,THE FLORAVALE,WESTWOOD RESIDENCES AVENUE,22,Executive Condominium,3,2750,1300 to 1400,1350,NA,19-Aug,103.69653,1.3521112,"westwood ave, singapore 648146"
126,WESTMERE,JURONG EAST STREET 13,22,Executive Condominium,3,2700,1200 to 1300,1250,NA,19-Aug,103.7372944,1.3370334,"jurong east street 13, singapore"
127,SUMMERDALE,BOON LAY DRIVE,22,Executive Condominium,3,2300,1100 to 1200,1150,NA,19-Aug,103.7127992,1.3437874,"boon lay dr, singapore"
128,YEW MEI GREEN,CHOA CHU KANG NORTH 6,23,Executive Condominium,3,2400,1200 to 1300,1250,NA,19-Aug,103.747497,1.3963258,"choa chu kang north 6, singapore"
129,THE DEW,BUKIT BA+K STREET 21,23,Executive Condominium,3,2300,1200 to 1300,1250,NA,19-Aug,103.7533512,1.3464976,"bukit batok street 21, singapore"
130,THE DEW,BUKIT BA+K STREET 21,23,Executive Condominium,3,2500,1300 to 1400,1350,NA,19-Aug,103.7533512,1.3464976,"bukit batok street 21, singapore"
131,THE DEW,BUKIT BA+K STREET 21,23,Executive Condominium,3,2500,1200 to 1300,1250,NA,19-Aug,103.7533512,1.3464976,"bukit batok street 21, singapore"
132,YEW MEI GREEN,CHOA CHU KANG NORTH 6,23,Executive Condominium,3,2600,1200 to 1300,1250,NA,19-Aug,103.747497,1.3963258,"choa chu kang north 6, singapore"
133,THE DEW,BUKIT BA+K STREET 21,23,Executive Condominium,3,2700,1300 to 1400,1350,NA,19-Aug,103.7533512,1.3464976,"bukit batok street 21, singapore"
134,WINDERMERE,CHOA CHU KANG STREET 64,23,Executive Condominium,3,2400,1400 to 1500,1450,NA,19-Aug,103.750071,1.397576,"choa chu kang street 64, singapore"
135,WINDERMERE,CHOA CHU KANG STREET 64,23,Executive Condominium,3,2600,1200 to 1300,1250,NA,19-Aug,103.750071,1.397576,"choa chu kang street 64, singapore"
136,THE DEW,BUKIT BA+K STREET 21,23,Executive Condominium,3,2000,1300 to 1400,1350,NA,19-Aug,103.7533512,1.3464976,"bukit batok street 21, singapore"
137,CHESTERVALE,BANGKIT ROAD,23,Executive Condominium,3,2450,1400 to 1500,1450,NA,19-Aug,103.7741527,1.3776889,"bangkit rd, singapore"
138,THE QUINTET,CHOA CHU KANG STREET 64,23,Executive Condominium,3,2200,1200 to 1300,1250,NA,19-Aug,103.750071,1.397576,"choa chu kang street 64, singapore"
139,YEW MEI GREEN,CHOA CHU KANG NORTH 6,23,Executive Condominium,3,2550,1300 to 1400,1350,NA,19-Aug,103.747497,1.3963258,"choa chu kang north 6, singapore"
140,YEW MEI GREEN,CHOA CHU KANG NORTH 6,23,Executive Condominium,3,2500,1200 to 1300,1250,NA,19-Aug,103.747497,1.3963258,"choa chu kang north 6, singapore"
141,YEW MEI GREEN,CHOA CHU KANG NORTH 6,23,Executive Condominium,3,2400,1200 to 1300,1250,NA,19-Aug,103.747497,1.3963258,"choa chu kang north 6, singapore"
142,YEW MEI GREEN,CHOA CHU KANG NORTH 6,23,Executive Condominium,3,2400,1200 to 1300,1250,NA,19-Aug,103.747497,1.3963258,"choa chu kang north 6, singapore"
143,THE DEW,BUKIT BA+K STREET 21,23,Executive Condominium,3,2300,1200 to 1300,1250,NA,19-Aug,103.7533512,1.3464976,"bukit batok street 21, singapore"
