Name,Postal District,"25th percentile
Percentile",Median,"75th percentile
Percentile",Number
RV EDGE,10,52.44,59.29,62.86,14
RV RESIDENCES,10,50.79,55.19,63.46,24
SANCTUARY GREEN,15,32.14,34.52,36.79,36
SANT RITZ,13,35.38,42.62,45.91,20
SAVANNAH CONDOPARK,18,24.55,25.46,26.15,27
SCOTTS 28,9,34.87,38.6,40.79,10
SCOTTS SQUARE,9,67.8,72.86,83.45,44
SEA ESTA,18,25.27,27.47,30.26,15
SEAHILL,5,37.19,39.73,43.55,35
SEASCAPE,4,38.22,42.08,43.42,20
SEASONS PARK,26,21.67,22.55,23.28,14
SEASTRAND,18,25.24,29.89,31.82,33
SELETAR PARK RESIDENCE,28,25.93,30.91,33.67,23
SELETARIS,27,17.93,18.97,20.55,10
SENNETT RESIDENCE,13,36.68,39.74,43.11,24
SERENITY PARK,28,19.21,22.04,23.67,12
SEVENTY SAINT PATRICK'S,15,34.12,36.92,38.32,20
SHERWOOD TOWER,21,21.86,23.99,28.41,13
SIGLAP V,15,28.92,32.37,40.03,20
SIGNATURE PARK,21,21.21,22.45,23.96,47
SILVERSEA,15,40.61,42.55,47.47,37
SIMS URBAN OASIS,14,40,44.08,48.84,78
SIMSVILLE,14,27.59,28.87,29.74,33
SKIES MILTONIA,27,25,27.27,31.34,35
SKY GREEN,13,30.56,36.69,45.45,34
SKY HABITAT,20,37.88,39.39,41.67,27
SKY VUE,20,40,42.86,47.62,49
SKYLINE RESIDENCES,4,41.6,44.17,50.65,31
SKYSUITES17,12,39.68,45.61,52.94,13
SKYSUITES@ANSON,2,64.52,72.06,77.94,67
SOLEIL @ SINARAN,11,51.85,55.56,58.82,58
SOMMERVILLE PARK,10,32.93,34.68,40.89,23
SOPHIA HILLS,9,37.23,50.94,58.46,23
SOPHIA RESIDENCE,9,37.59,42.86,48.65,23
SOUTHAVEN II,21,21.37,21.81,22.48,14
SOUTHBANK,7,42.7,44.15,47.62,18
SPACE @ KOVAN,19,36.11,38.12,43.59,18
SPANISH VILLAGE,10,24.79,27.78,31.97,16
SPOTTISWOODE 18,2,51.06,60.42,63.89,52
SPOTTISWOODE PARK,2,22.88,29.43,31.65,30
SPOTTISWOODE RESIDENCES,2,47.06,49.41,51.79,51
SPOTTISWOODE SUITES,2,60.84,61.06,67.07,12
SPRING GROVE,10,31.92,33.33,36.44,36
SPRINGDALE CONDO,21,23.81,24.42,26.21,34
ST REGIS RESIDENCES SINGAPORE,10,40.61,44,47.14,13
ST THOMAS SUITES,9,42.31,44.38,48.13,15
STARLIGHT SUITES,9,39.33,45.57,53.85,15
STARVILLE,14,24.42,25.62,34.62,12
STELLAR RV,10,45.81,47.96,50,28
STRATA,11,44.25,47.83,51.25,13
STRATUM,18,28.7,34.15,38.1,39
SUITES @ EASTCOAST,15,34.73,40.93,47.06,12
SUITES AT ORCHARD,9,56.41,64.4,68.63,18
SUMMERHILL,21,24.48,25.64,27.38,22
SUNGLADE,19,30.65,32.41,34.83,23
SUNHAVEN,16,23.42,24.35,25.58,17
SUNSHINE PLAZA,7,39.47,42.46,45.45,16
SYMPHONY HEIGHTS,21,22.47,24.83,26.55,26
SYMPHONY SUITES,27,27.71,29.52,31.25,49
TANAMERA CREST,16,24.27,25,25.96,11
TANGLIN PARK,10,34.85,36.75,39.53,33
TANGLIN REGENCY,10,35,36.08,38.52,16
TANGLIN VIEW,3,34.82,36.27,38.39,29
TANJONG RIA CONDO,15,23.44,26.07,30.36,18
TERESA VILLE,4,22.18,24.29,26.06,15
TERRASSE,19,27.71,29.13,31.07,31
TERRENE AT BUKIT TIMAH,21,27.4,29.35,33.98,17
TEXTILE CENTRE,7,34.39,36.4,40,20
THE ANCHORAGE,3,26.79,27.94,30.09,55
THE ARTE,12,28.87,30.54,31.03,18
THE ATRIA AT MEYER,15,25.38,26.26,27.69,13
THE BAYSHORE,16,25.21,26.32,27.27,77
THE BEACON,2,36.11,39.81,41.3,12
THE BELVEDERE,15,34.85,36.09,38.77,16
THE BENCOOLEN,7,38.41,41.16,43.75,30
THE BERTH BY THE COVE,4,39.74,41.35,47.35,19
THE BOUTIQ,9,47.56,53.09,58.62,23
THE CALROSE,26,22.47,23.43,24.63,16
THE CASCADIA,21,32.73,36.36,39.57,27
THE CENTRIS,22,29.1,33.06,34.78,45
THE CLEARWATER,16,24.8,26.78,34.43,14
THE CLIFT,1,61.22,67.35,80.56,57
THE COAST AT SENTOSA COVE,4,35.16,37.23,38.25,21
THE COSMOPOLITAN,9,46.15,49.06,51.89,23
THE CREEK @ BUKIT,21,32.22,35.17,39.58,12
THE CREST,3,48.61,50.99,53.85,14
THE DAIRY FARM,23,20.69,23.08,24.61,29
THE DRAYCOTT,10,29.78,32.42,35.91,12
THE ESTA,15,33.78,35.49,37.14,26
THE ESTUARY,27,24.59,26.16,30.36,30
THE FORESTA @ MOUNT FABER,4,42.7,46.27,57.5,27
THE GALE,17,23.18,24.1,25.83,16
THE GARDENS AT BISHAN,20,25,26.42,27.72,31
THE GLADES,16,37.3,41.43,44.44,74
THE GLYNDEBOURNE,11,37.12,39.7,41.61,16
THE GREENWICH,28,27.68,29.75,31.41,44
THE HILLFORD,21,40,44.59,48.65,35
THE HILLIER,23,36.17,37.93,39.66,47
THE IMPERIAL,9,50,51.76,54.93,18
THE INFINITI,5,25.51,27.41,29.49,12
THE INFLORA,17,28.95,32.66,37.21,24
THE INSPIRA,9,44.25,49.07,52.33,18
THE INTERLACE,4,32.74,35.71,39.18,65
THE INTERWEAVE,12,37.5,46.05,48.57,29
THE JADE,23,29.82,33.02,35.11,13
THE LAKEFRONT RESIDENCES,22,32.77,35.48,43.14,48
THE LAKESHORE,22,29.13,30.45,32.69,46
THE LANAI,23,29.21,30,30.93,27
THE LAURELS,9,59.08,62.09,66.39,32
THE LEVELZ,10,40.91,43.94,46.77,13
THE LINE @ TANJONG RHU,15,34.55,42.59,51.28,25
THE LUXURIE,19,29.27,30.56,31.62,33
THE MADEIRA,23,23.68,25,27.78,17
THE MAKENA,15,26.95,28.57,30.91,33
THE MARBELLA,10,39.2,40,40.8,17
THE MAYFAIR,22,25.91,27.19,32.71,34
THE METROPOLITAN CONDO,3,34.62,39.23,40.63,33
THE METZ,9,63.46,64.7,69.23,26
THE MEYERISE,15,37.08,38.56,39.42,16
THE MEZZO,12,30.13,33.97,35.9,14
THE MILTONIA RESIDENCES,27,24.63,25.64,26.92,23
