S/N,Building/Project Name,StreetName,Postal District,Type,No. of Bedroom,Monthly Gross Rent($),Floor Area (sq ft),Mean Floor Area (sq ft),Category,Date
104,SUMMERDALE,BOON LAY DRIVE,22,Executive Condominium,3,2300,1100 to 1200,1150,,19-Aug
105,WESTMERE,JURONG EAST STREET 13,22,Executive Condominium,3,2600,1000 to 1100,1050,,19-Aug
106,SUMMERDALE,BOON LAY DRIVE,22,Executive Condominium,3,2750,2000 to 2100,2050,,19-Aug
107,SUMMERDALE,BOON LAY DRIVE,22,Executive Condominium,3,2500,1200 to 1300,1250,,19-Aug
108,WESTMERE,JURONG EAST STREET 13,22,Executive Condominium,3,3200,1200 to 1300,1250,,19-Aug
109,WESTWOOD RESIDENCES RESIDENCES,WESTWOOD RESIDENCES AVENUE,22,Executive Condominium,3,2700,1000 to 1100,1050,,19-Aug
110,WESTMERE,JURONG EAST STREET 13,22,Executive Condominium,3,3200,1300 to 1400,1350,,19-Aug
111,THE FLORAVALE,WESTWOOD RESIDENCES AVENUE,22,Executive Condominium,3,2550,1300 to 1400,1350,,19-Aug
112,THE FLORAVALE,WESTWOOD RESIDENCES AVENUE,22,Executive Condominium,3,2900,1200 to 1300,1250,,19-Aug
113,SUMMERDALE,BOON LAY DRIVE,22,Executive Condominium,3,2400,1100 to 1200,1150,,19-Aug
114,THE FLORAVALE,WESTWOOD RESIDENCES AVENUE,22,Executive Condominium,3,2800,1200 to 1300,1250,,19-Aug
115,SUMMERDALE,BOON LAY DRIVE,22,Executive Condominium,3,2500,1100 to 1200,1150,,19-Aug
116,THE FLORAVALE,WESTWOOD RESIDENCES AVENUE,22,Executive Condominium,3,2600,1300 to 1400,1350,,19-Aug
117,SUMMERDALE,BOON LAY DRIVE,22,Executive Condominium,3,2400,1100 to 1200,1150,,19-Aug
118,SUMMERDALE,BOON LAY DRIVE,22,Executive Condominium,3,2300,1100 to 1200,1150,,19-Aug
119,SUMMERDALE,BOON LAY DRIVE,22,Executive Condominium,3,2500,1100 to 1200,1150,,19-Aug
120,THE FLORAVALE,WESTWOOD RESIDENCES AVENUE,22,Executive Condominium,3,2700,1200 to 1300,1250,,19-Aug
121,WESTMERE,JURONG EAST STREET 13,22,Executive Condominium,3,2800,1200 to 1300,1250,,19-Aug
122,THE FLORAVALE,WESTWOOD RESIDENCES AVENUE,22,Executive Condominium,3,2500,1300 to 1400,1350,,19-Aug
123,THE FLORAVALE,WESTWOOD RESIDENCES AVENUE,22,Executive Condominium,3,2600,1200 to 1300,1250,,19-Aug
124,WESTMERE,JURONG EAST STREET 13,22,Executive Condominium,3,2800,1200 to 1300,1250,,19-Aug
125,THE FLORAVALE,WESTWOOD RESIDENCES AVENUE,22,Executive Condominium,3,2750,1300 to 1400,1350,,19-Aug
126,WESTMERE,JURONG EAST STREET 13,22,Executive Condominium,3,2700,1200 to 1300,1250,,19-Aug
127,SUMMERDALE,BOON LAY DRIVE,22,Executive Condominium,3,2300,1100 to 1200,1150,,19-Aug
